*162*txid:13913173274*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-05-12 11:41:28. fee was 0 rwf. your new balance: 25280 rwf . message: - -. *en#
*162*txid:14121530824*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-05-27 18:40:46. fee was 0 rwf. your new balance: 150 rwf . message: - -. *en#
*162*txid:14303889432*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-06-09 14:58:25. fee was 0 rwf. your new balance: 3350 rwf . message: - -. *en#
*162*txid:14304661948*s*your payment of 1000 rwf to airtime with token  has been completed at 2024-06-09 15:58:28. fee was 0 rwf. your new balance: 2350 rwf . message: - -. *en#
*162*txid:14412904724*s*your payment of 200 rwf to airtime with token  has been completed at 2024-06-17 14:57:47. fee was 0 rwf. your new balance: 130 rwf . message: - -. *en#
*162*txid:14413610551*s*your payment of 5000 rwf to airtime with token  has been completed at 2024-06-17 15:54:55. fee was 0 rwf. your new balance: 15130 rwf . message: - -. *en#
*162*txid:14551117248*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-06-27 15:06:43. fee was 0 rwf. your new balance: 1990 rwf . message: - -. *en#
*162*txid:14568668252*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-06-28 17:38:18. fee was 0 rwf. your new balance: 32170 rwf . message: - -. *en#
*162*txid:14628107159*s*your payment of 3000 rwf to airtime with token  has been completed at 2024-07-02 17:42:37. fee was 0 rwf. your new balance: 11370 rwf . message: - -. *en#
*162*txid:15180796103*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-08-09 08:04:48. fee was 0 rwf. your new balance: 3170 rwf . message: - -. *en#
*162*txid:15512525928*s*your payment of 2000 rwf to airtime with token  has been completed at 2024-08-31 17:15:19. fee was 0 rwf. your new balance: 28670 rwf . message: - -. *en#
*162*txid:15538355693*s*your payment of 3000 rwf to airtime with token  has been completed at 2024-09-02 11:07:16. fee was 0 rwf. your new balance: 870 rwf . message: - -. *en#
*162*txid:15594922933*s*your payment of 3000 rwf to airtime with token  has been completed at 2024-09-05 20:02:44. fee was 0 rwf. your new balance: 12490 rwf . message: - -. *en#
*162*txid:16803083833*s*your payment of 5000 rwf to airtime with token  has been completed at 2024-11-12 23:51:04. fee was 0 rwf. your new balance: 28022 rwf . message: - -. *en#
*162*txid:17868470140*s*your payment of 2000 rwf to airtime with token  has been completed at 2025-01-03 18:56:21. fee was 0 rwf. your new balance: 6222 rwf . message: - -. *en#
